Indiana, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.30,-0.58
199002,5.28,2.72
199003,2.85,-0.48
199004,2.89,-1.41
199005,7.49,2.66
199006,4.60,-0.23
199007,4.87,0.52
199008,5.13,1.49
199009,2.59,-0.71
199010,5.14,1.67
199011,3.38,0.06
199012,7.02,3.85
199101,2.01,-0.87
199102,1.88,-0.68
199103,4.46,1.13
199104,3.63,-0.67
199105,4.03,-0.80
199106,1.54,-3.29
199107,2.44,-1.91
199108,3.25,-0.39
199109,2.34,-0.96
199110,5.14,1.67
199111,3.16,-0.16
199112,2.43,-0.74
199201,1.54,-1.34
199202,1.24,-1.32
199203,3.15,-0.18
199204,3.42,-0.88
199205,2.46,-2.37
199206,2.87,-1.96
199207,8.55,4.20
199208,2.97,-0.67
199209,4.62,1.32
199210,1.68,-1.79
199211,5.80,2.48
199212,2.04,-1.13
199301,3.81,0.93
199302,2.02,-0.54
199303,2.80,-0.53
199304,4.74,0.44
199305,3.55,-1.28
199306,5.80,0.97
199307,4.37,0.02
199308,4.39,0.75
199309,6.24,2.94
199310,3.32,-0.15
199311,5.43,2.11
199312,2.12,-1.05
199401,2.67,-0.21
199402,1.40,-1.16
199403,1.37,-1.96
199404,5.70,1.40
199405,2.68,-2.15
199406,4.18,-0.65
199407,3.37,-0.98
199408,3.46,-0.18
199409,2.38,-0.92
199410,1.40,-2.07
199411,4.51,1.19
199412,2.44,-0.73
199501,2.86,-0.02
199502,1.18,-1.38
199503,2.57,-0.76
199504,4.51,0.21
199505,7.26,2.43
199506,3.98,-0.85
199507,2.83,-1.52
199508,4.30,0.66
199509,1.07,-2.23
199510,2.99,-0.48
199511,2.69,-0.63
199512,2.02,-1.15
199601,3.12,0.24
199602,1.20,-1.36
199603,2.58,-0.75
199604,6.64,2.34
199605,7.65,2.82
199606,5.03,0.20
199607,5.08,0.73
199608,1.62,-2.02
199609,4.94,1.64
199610,2.22,-1.25
199611,4.14,0.82
199612,3.45,0.28
199701,3.04,0.16
199702,3.28,0.72
199703,4.81,1.48
199704,2.07,-2.23
199705,5.71,0.88
199706,5.50,0.67
199707,2.95,-1.40
199708,3.96,0.32
199709,2.26,-1.04
199710,1.61,-1.86
199711,2.61,-0.71
199712,2.00,-1.17
199801,3.04,0.16
199802,1.82,-0.74
199803,4.24,0.91
199804,6.06,1.76
199805,4.59,-0.24
199806,7.74,2.91
199807,4.96,0.61
199808,3.58,-0.06
199809,1.06,-2.24
199810,3.55,0.08
199811,2.20,-1.12
199812,2.04,-1.13
199901,4.92,2.04
199902,3.41,0.85
199903,2.00,-1.33
199904,4.90,0.60
199905,3.12,-1.71
199906,4.13,-0.70
199907,2.70,-1.65
199908,2.24,-1.40
199909,1.36,-1.94
199910,2.02,-1.45
199911,1.06,-2.26
199912,3.18,0.01
200001,2.54,-0.34
200002,3.46,0.90
200003,2.20,-1.13
200004,3.23,-1.07
200005,4.53,-0.30
200006,6.21,1.38
200007,3.89,-0.46
200008,4.41,0.77
200009,4.61,1.31
200010,2.33,-1.14
200011,2.98,-0.34
200012,3.01,-0.16
200101,1.02,-1.86
200102,2.86,0.30
200103,0.97,-2.36
200104,2.75,-1.55
200105,4.32,-0.51
200106,4.09,-0.74
200107,5.46,1.11
200108,4.02,0.38
200109,3.76,0.46
200110,7.75,4.28
200111,3.34,0.02
200112,3.62,0.45
200201,2.24,-0.64
200202,2.32,-0.24
200203,4.38,1.05
200204,5.59,1.29
200205,7.09,2.26
200206,3.28,-1.55
200207,2.64,-1.71
200208,2.82,-0.82
200209,3.75,0.45
200210,2.87,-0.60
200211,2.35,-0.97
200212,2.86,-0.31
200301,1.42,-1.46
200302,2.74,0.18
200303,2.16,-1.17
200304,3.00,-1.30
200305,6.56,1.73
200306,3.26,-1.57
200307,8.18,3.83
200308,3.54,-0.10
200309,6.20,2.90
200310,2.40,-1.07
200311,4.26,0.94
200312,2.68,-0.49
200401,3.48,0.60
200402,0.83,-1.73
200403,3.46,0.13
200404,1.83,-2.47
200405,7.17,2.34
200406,4.43,-0.40
200407,5.19,0.84
200408,4.85,1.21
200409,0.72,-2.58
200410,4.14,0.67
200411,4.73,1.41
200412,2.57,-0.60
200501,7.11,4.23
200502,2.25,-0.31
200503,2.12,-1.21
200504,3.04,-1.26
200505,2.57,-2.26
200506,3.21,-1.62
200507,4.43,0.08
200508,4.76,1.12
200509,4.10,0.80
200510,1.24,-2.23
200511,3.91,0.59
200512,2.15,-1.02
200601,3.28,0.40
200602,1.62,-0.94
200603,5.14,1.81
200604,4.27,-0.03
200605,5.25,0.42
200606,4.20,-0.63
200607,4.85,0.50
200608,4.76,1.12
200609,4.56,1.26
200610,5.01,1.54
200611,3.25,-0.07
200612,4.83,1.66
200701,4.75,1.87
200702,2.43,-0.13
200703,3.54,0.21
200704,4.15,-0.15
200705,1.75,-3.08
200706,3.28,-1.55
200707,3.17,-1.18
200708,4.55,0.91
200709,2.53,-0.77
200710,3.81,0.34
200711,2.77,-0.55
200712,5.06,1.89
200801,3.23,0.35
200802,4.81,2.25
200803,6.48,3.15
200804,3.36,-0.94
200805,5.68,0.85
200806,6.58,1.75
200807,4.32,-0.03
200808,2.01,-1.63
200809,3.86,0.56
200810,2.23,-1.24
200811,2.11,-1.21
200812,5.02,1.85
200901,1.62,-1.26
200902,2.80,0.24
200903,3.23,-0.10
200904,5.74,1.44
200905,5.67,0.84
200906,4.69,-0.14
200907,4.43,0.08
200908,3.76,0.12
200909,2.87,-0.43
200910,6.69,3.22
200911,1.46,-1.86
200912,3.10,-0.07
201001,1.52,-1.36
201002,1.48,-1.08
201003,3.10,-0.23
201004,3.16,-1.14
201005,5.49,0.66
201006,7.68,2.85
201007,4.15,-0.20
201008,1.84,-1.80
201009,1.35,-1.95
201010,1.17,-2.30
201011,5.01,1.69
201012,1.44,-1.73
201101,1.50,-1.38
201102,4.21,1.65
201103,3.46,0.13
201104,9.61,5.31
201105,6.51,1.68
201106,5.23,0.40
201107,2.74,-1.61
201108,2.55,-1.09
201109,5.31,2.01
201110,3.29,-0.18
201111,6.21,2.89
201112,4.58,1.41
201201,3.40,0.52
201202,1.54,-1.02
201203,2.73,-0.60
201204,2.22,-2.08
201205,2.75,-2.08
201206,1.29,-3.54
201207,2.53,-1.82
201208,4.05,0.41
201209,5.17,1.87
201210,3.95,0.48
201211,0.98,-2.34
201212,3.21,0.04
201301,4.71,1.83
201302,2.21,-0.35
201303,2.30,-1.03
201304,6.38,2.08
201305,3.71,-1.12
201306,6.24,1.41
201307,3.21,-1.14
201308,1.84,-1.80
201309,2.99,-0.31
201310,4.12,0.65
201311,3.04,-0.28
201312,4.39,1.22
201401,2.33,-0.55
201402,2.64,0.08
201403,1.85,-1.48
201404,5.73,1.43
201405,4.23,-0.60
201406,5.61,0.78
201407,3.36,-0.99
201408,4.96,1.32
201409,3.48,0.18
201410,4.13,0.66
201411,2.66,-0.66
201412,2.59,-0.58
201501,2.11,-0.77
201502,1.40,-1.16
201503,3.54,0.21
201504,4.79,0.49
201505,3.98,-0.85
201506,9.07,4.24
201507,6.23,1.88
201508,2.57,-1.07
201509,2.39,-0.91
201510,2.42,-1.05
201511,3.57,0.25
201512,5.44,2.27
201601,1.34,-1.54
201602,2.78,0.22
201603,4.46,1.13
201604,4.17,-0.13
201605,3.53,-1.30
201606,4.28,-0.55
201607,5.13,0.78
201608,6.48,2.84
201609,3.66,0.36
201610,2.61,-0.86
201611,2.58,-0.74
201612,2.36,-0.81
201701,3.68,0.80
201702,1.35,-1.21
201703,4.04,0.71
201704,4.83,0.53
201705,6.90,2.07
201706,4.37,-0.46
201707,6.07,1.72
201708,2.26,-1.38
201709,2.03,-1.27
201710,4.32,0.85
201711,4.43,1.11
201712,1.33,-1.84
201801,2.05,-0.83
201802,5.91,3.35
201803,3.92,0.59
201804,3.59,-0.71
201805,3.42,-1.41
201806,6.55,1.72
201807,3.37,-0.98
201808,5.33,1.69
201809,5.40,2.10
201810,2.82,-0.65
201811,4.32,1.00
201812,3.35,0.18
201901,3.50,0.62
201902,4.45,1.89
201903,4.18,0.85
201904,5.62,1.32
201905,6.02,1.19
201906,6.12,1.29
201907,3.61,-0.74
201908,3.51,-0.13
201909,2.26,-1.04
201910,4.29,0.82
201911,2.70,-0.62
201912,3.26,0.09
202001,4.65,1.77
202002,2.81,0.25
202003,4.62,1.29
202004,3.05,-1.25
202005,5.07,0.24
202006,3.52,-1.31
202007,4.58,0.23
202008,3.31,-0.33
202009,1.53,-1.77
202010,4.44,0.97
202011,3.02,-0.30
202012,1.80,-1.37
202101,2.45,-0.43
202102,2.21,-0.35
202103,3.81,0.48
202104,2.94,-1.36
202105,3.77,-1.06
202106,5.95,1.12
202107,5.50,1.15
202108,3.42,-0.22
202109,4.14,0.84
202110,6.08,2.61
202111,1.44,-1.88
202112,4.02,0.85
202201,1.70,-1.18
