Kansas, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.25,0.50
199002,1.50,0.54
199003,3.06,1.16
199004,2.12,-0.51
199005,5.51,1.21
199006,2.96,-1.01
199007,3.51,-0.30
199008,3.10,-0.37
199009,1.76,-0.74
199010,0.97,-1.33
199011,1.59,0.31
199012,0.60,-0.43
199101,0.52,-0.23
199102,0.04,-0.92
199103,1.46,-0.44
199104,2.62,-0.01
199105,4.05,-0.25
199106,2.61,-1.36
199107,2.37,-1.44
199108,2.54,-0.93
199109,1.47,-1.03
199110,1.30,-1.00
199111,2.36,1.08
199112,1.81,0.78
199201,1.10,0.35
199202,0.93,-0.03
199203,2.46,0.56
199204,1.36,-1.27
199205,2.40,-1.90
199206,5.81,1.84
199207,6.70,2.89
199208,3.74,0.27
199209,2.08,-0.42
199210,2.00,-0.30
199211,3.51,2.23
199212,1.70,0.67
199301,1.48,0.73
199302,1.93,0.97
199303,2.25,0.35
199304,2.18,-0.45
199305,6.05,1.75
199306,4.27,0.30
199307,9.28,5.47
199308,4.20,0.73
199309,3.75,1.25
199310,1.21,-1.09
199311,1.12,-0.16
199312,0.75,-0.28
199401,0.60,-0.15
199402,0.71,-0.25
199403,0.39,-1.51
199404,4.62,1.99
199405,1.50,-2.80
199406,2.97,-1.00
199407,4.92,1.11
199408,2.42,-1.05
199409,1.36,-1.14
199410,2.24,-0.06
199411,2.29,1.01
199412,0.98,-0.05
199501,0.92,0.17
199502,0.30,-0.66
199503,2.13,0.23
199504,2.79,0.16
199505,8.79,4.49
199506,4.84,0.87
199507,3.22,-0.59
199508,3.01,-0.46
199509,2.38,-0.12
199510,0.33,-1.97
199511,0.32,-0.96
199512,0.65,-0.38
199601,0.43,-0.32
199602,0.12,-0.84
199603,1.26,-0.64
199604,1.35,-1.28
199605,4.98,0.68
199606,4.11,0.14
199607,4.29,0.48
199608,5.34,1.87
199609,4.38,1.88
199610,1.54,-0.76
199611,2.80,1.52
199612,0.16,-0.87
199701,0.22,-0.53
199702,2.13,1.17
199703,0.42,-1.48
199704,2.83,0.20
199705,3.31,-0.99
199706,4.25,0.28
199707,3.21,-0.60
199708,4.80,1.33
199709,2.89,0.39
199710,3.22,0.92
199711,0.92,-0.36
199712,2.09,1.06
199801,0.60,-0.15
199802,0.96,0.00
199803,3.20,1.30
199804,2.28,-0.35
199805,2.06,-2.24
199806,2.90,-1.07
199807,6.37,2.56
199808,1.94,-1.53
199809,3.08,0.58
199810,4.23,1.93
199811,4.11,2.83
199812,0.58,-0.45
199901,1.35,0.60
199902,0.49,-0.47
199903,1.70,-0.20
199904,5.18,2.55
199905,4.42,0.12
199906,5.31,1.34
199907,2.73,-1.08
199908,3.22,-0.25
199909,3.28,0.78
199910,0.61,-1.69
199911,0.76,-0.52
199912,1.21,0.18
200001,0.42,-0.33
200002,1.61,0.65
200003,4.16,2.26
200004,1.35,-1.28
200005,2.67,-1.63
200006,4.25,0.28
200007,3.68,-0.13
200008,0.62,-2.85
200009,1.01,-1.49
200010,3.98,1.68
200011,1.24,-0.04
200012,0.49,-0.54
200101,1.31,0.56
200102,2.46,1.50
200103,1.48,-0.42
200104,1.81,-0.82
200105,5.26,0.96
200106,3.81,-0.16
200107,3.71,-0.10
200108,2.40,-1.07
200109,3.55,1.05
200110,1.11,-1.19
200111,0.58,-0.70
200112,0.27,-0.76
200201,1.06,0.31
200202,0.42,-0.54
200203,0.53,-1.37
200204,2.34,-0.29
200205,3.90,-0.40
200206,2.74,-1.23
200207,1.72,-2.09
200208,3.09,-0.38
200209,1.50,-1.00
200210,4.43,2.13
200211,0.24,-1.04
200212,0.47,-0.56
200301,0.18,-0.57
200302,1.15,0.19
200303,2.22,0.32
200304,3.23,0.60
200305,3.47,-0.83
200306,4.19,0.22
200307,0.85,-2.96
200308,4.31,0.84
200309,2.51,0.01
200310,1.21,-1.09
200311,0.64,-0.64
200312,1.15,0.12
200401,0.83,0.08
200402,0.86,-0.10
200403,3.38,1.48
200404,2.50,-0.13
200405,2.47,-1.83
200406,5.34,1.37
200407,5.81,2.00
200408,2.51,-0.96
200409,2.15,-0.35
200410,2.29,-0.01
200411,2.47,1.19
200412,0.30,-0.73
200501,1.77,1.02
200502,1.59,0.63
200503,1.37,-0.53
200504,2.02,-0.61
200505,3.18,-1.12
200506,6.03,2.06
200507,3.22,-0.59
200508,5.16,1.69
200509,1.58,-0.92
200510,2.58,0.28
200511,0.68,-0.60
200512,0.42,-0.61
200601,0.30,-0.45
200602,0.01,-0.95
200603,1.87,-0.03
200604,2.43,-0.20
200605,2.76,-1.54
200606,3.02,-0.95
200607,2.39,-1.42
200608,4.77,1.30
200609,1.90,-0.60
200610,2.14,-0.16
200611,0.47,-0.81
200612,2.67,1.64
200701,0.89,0.14
200702,0.88,-0.08
200703,3.44,1.54
200704,2.98,0.35
200705,5.98,1.68
200706,5.69,1.72
200707,3.35,-0.46
200708,2.57,-0.90
200709,2.02,-0.48
200710,2.83,0.53
200711,0.15,-1.13
200712,2.48,1.45
200801,0.40,-0.35
200802,1.38,0.42
200803,1.47,-0.43
200804,2.81,0.18
200805,5.13,0.83
200806,4.81,0.84
200807,3.37,-0.44
200808,3.62,0.15
200809,3.97,1.47
200810,4.78,2.48
200811,0.95,-0.33
200812,0.65,-0.38
200901,0.08,-0.67
200902,0.51,-0.45
200903,1.87,-0.03
200904,4.80,2.17
200905,2.74,-1.56
200906,4.71,0.74
200907,3.99,0.18
200908,3.83,0.36
200909,3.40,0.90
200910,3.81,1.51
200911,1.08,-0.20
200912,0.98,-0.05
201001,0.48,-0.27
201002,0.86,-0.10
201003,2.08,0.18
201004,2.62,-0.01
201005,4.06,-0.24
201006,4.70,0.73
201007,4.55,0.74
201008,2.93,-0.54
201009,3.14,0.64
201010,0.69,-1.61
201011,1.53,0.25
201012,0.20,-0.83
201101,0.46,-0.29
201102,1.09,0.13
201103,1.11,-0.79
201104,1.86,-0.77
201105,3.44,-0.86
201106,2.66,-1.31
201107,2.59,-1.22
201108,3.33,-0.14
201109,1.27,-1.23
201110,1.60,-0.70
201111,2.50,1.22
201112,2.26,1.23
201201,0.07,-0.68
201202,1.81,0.85
201203,2.45,0.55
201204,3.08,0.45
201205,1.47,-2.83
201206,2.16,-1.81
201207,1.28,-2.53
201208,2.61,-0.86
201209,2.09,-0.41
201210,1.14,-1.16
201211,0.58,-0.70
201212,0.55,-0.48
201301,0.84,0.09
201302,1.63,0.67
201303,1.21,-0.69
201304,2.44,-0.19
201305,3.96,-0.34
201306,2.78,-1.19
201307,4.46,0.65
201308,4.91,1.44
201309,2.74,0.24
201310,2.64,0.34
201311,1.03,-0.25
201312,0.39,-0.64
201401,0.24,-0.51
201402,0.75,-0.21
201403,0.48,-1.42
201404,1.59,-1.04
201405,1.98,-2.32
201406,7.58,3.61
201407,2.39,-1.42
201408,3.06,-0.41
201409,2.98,0.48
201410,2.75,0.45
201411,0.29,-0.99
201412,1.34,0.31
201501,0.37,-0.38
201502,0.83,-0.13
201503,0.49,-1.41
201504,2.76,0.13
201505,8.28,3.98
201506,3.34,-0.63
201507,4.93,1.12
201508,2.95,-0.52
201509,1.58,-0.92
201510,1.79,-0.51
201511,3.10,1.82
201512,2.36,1.33
201601,0.48,-0.27
201602,0.55,-0.41
201603,0.77,-1.13
201604,5.34,2.71
201605,4.58,0.28
201606,2.30,-1.67
201607,5.05,1.24
201608,4.90,1.43
201609,4.11,1.61
201610,1.44,-0.86
201611,0.47,-0.81
201612,0.69,-0.34
201701,1.56,0.81
201702,0.24,-0.72
201703,2.79,0.89
201704,5.07,2.44
201705,4.83,0.53
201706,3.20,-0.77
201707,2.39,-1.42
201708,3.56,0.09
201709,2.39,-0.11
201710,2.73,0.43
201711,0.16,-1.12
201712,0.11,-0.92
201801,0.39,-0.36
201802,0.60,-0.36
201803,1.02,-0.88
201804,1.21,-1.42
201805,4.10,-0.20
201806,3.82,-0.15
201807,4.19,0.38
201808,4.33,0.86
201809,3.33,0.83
201810,5.86,3.56
201811,0.81,-0.47
201812,2.19,1.16
201901,1.03,0.28
201902,1.02,0.06
201903,2.12,0.22
201904,1.67,-0.96
201905,10.51,6.21
201906,4.45,0.48
201907,2.32,-1.49
201908,7.00,3.53
201909,2.02,-0.48
201910,1.96,-0.34
201911,0.65,-0.63
201912,1.28,0.25
202001,1.33,0.58
202002,1.29,0.33
202003,2.06,0.16
202004,1.37,-1.26
202005,4.09,-0.21
202006,2.73,-1.24
202007,6.32,2.51
202008,1.68,-1.79
202009,1.65,-0.85
202010,1.09,-1.21
202011,1.31,0.03
202012,0.93,-0.10
202101,1.38,0.63
202102,0.22,-0.74
202103,4.04,2.14
202104,1.51,-1.12
202105,5.56,1.26
202106,2.80,-1.17
202107,2.80,-1.01
202108,2.53,-0.94
202109,2.77,0.27
202110,3.05,0.75
202111,0.39,-0.89
202112,0.20,-0.83
202201,0.37,-0.38
