Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,50.0,4.3
199002,54.9,5.3
199003,57.7,0.9
199004,62.2,-1.5
199005,70.0,-1.7
199006,79.0,0.5
199007,80.1,-0.9
199008,80.6,0.1
199009,77.0,1.5
199010,62.5,-2.5
199011,56.9,2.5
199012,50.2,1.9
199101,44.6,-1.1
199102,50.4,0.8
199103,57.3,0.5
199104,66.1,2.4
199105,73.8,2.1
199106,78.4,-0.1
199107,81.3,0.3
199108,79.2,-1.3
199109,74.4,-1.1
199110,65.2,0.2
199111,50.4,-4.0
199112,50.7,2.4
199201,44.3,-1.4
199202,52.1,2.5
199203,55.8,-1.0
199204,62.6,-1.1
199205,69.4,-2.3
199206,76.1,-2.4
199207,80.6,-0.4
199208,76.2,-4.3
199209,73.6,-1.9
199210,63.3,-1.7
199211,51.8,-2.6
199212,47.9,-0.4
199301,47.7,2.0
199302,47.0,-2.6
199303,52.4,-4.4
199304,59.1,-4.6
199305,69.3,-2.4
199306,78.3,-0.2
199307,82.3,1.3
199308,81.4,0.9
199309,74.3,-1.2
199310,63.0,-2.0
199311,51.6,-2.8
199312,46.1,-2.2
199401,41.2,-4.5
199402,49.4,-0.2
199403,55.8,-1.0
199404,65.6,1.9
199405,69.4,-2.3
199406,79.0,0.5
199407,78.6,-2.4
199408,78.1,-2.4
199409,72.8,-2.7
199410,64.7,-0.3
199411,58.3,3.9
199412,49.6,1.3
199501,46.2,0.5
199502,48.3,-1.3
199503,58.2,1.4
199504,64.0,0.3
199505,72.7,1.0
199506,76.0,-2.5
199507,81.3,0.3
199508,82.6,2.1
199509,74.0,-1.5
199510,63.8,-1.2
199511,50.5,-3.9
199512,45.7,-2.6
199601,44.4,-1.3
199602,48.2,-1.4
199603,51.0,-5.8
199604,60.8,-2.9
199605,74.4,2.7
199606,77.6,-0.9
199607,80.5,-0.5
199608,78.5,-2.0
199609,72.9,-2.6
199610,64.0,-1.0
199611,53.8,-0.6
199612,50.1,1.8
199701,45.0,-0.7
199702,50.9,1.3
199703,60.4,3.6
199704,59.2,-4.5
199705,68.9,-2.8
199706,76.0,-2.5
199707,81.3,0.3
199708,78.6,-1.9
199709,75.6,0.1
199710,63.7,-1.3
199711,50.4,-4.0
199712,44.9,-3.4
199801,48.7,3.0
199802,49.9,0.3
199803,54.9,-1.9
199804,62.2,-1.5
199805,74.1,2.4
199806,81.6,3.1
199807,82.9,1.9
199808,81.4,0.9
199809,78.8,3.3
199810,67.6,2.6
199811,58.0,3.6
199812,50.1,1.8
199901,49.8,4.1
199902,53.3,3.7
199903,53.6,-3.2
199904,68.0,4.3
199905,71.1,-0.6
199906,78.4,-0.1
199907,81.6,0.6
199908,82.5,2.0
199909,73.7,-1.8
199910,63.9,-1.1
199911,56.7,2.3
199912,47.6,-0.7
200001,47.3,1.6
200002,53.2,3.6
200003,59.8,3.0
200004,61.3,-2.4
200005,74.4,2.7
200006,78.1,-0.4
200007,82.2,1.2
200008,83.2,2.7
200009,75.4,-0.1
200010,65.2,0.2
200011,52.1,-2.3
200012,38.4,-9.9
200101,40.9,-4.8
200102,52.5,2.9
200103,51.7,-5.1
200104,66.8,3.1
200105,71.7,0.0
200106,76.6,-1.9
200107,81.0,0.0
200108,79.7,-0.8
200109,73.0,-2.5
200110,61.1,-3.9
200111,58.6,4.2
200112,50.8,2.5
200201,47.5,1.8
200202,46.0,-3.6
200203,54.9,-1.9
200204,66.7,3.0
200205,70.9,-0.8
200206,77.8,-0.7
200207,81.1,0.1
200208,80.1,-0.4
200209,77.6,2.1
200210,67.0,2.0
200211,51.6,-2.8
200212,46.6,-1.7
200301,40.5,-5.2
200302,46.7,-2.9
200303,56.4,-0.4
200304,64.3,0.6
200305,73.0,1.3
200306,76.6,-1.9
200307,79.7,-1.3
200308,80.6,0.1
200309,73.4,-2.1
200310,64.5,-0.5
200311,58.6,4.2
200312,44.9,-3.4
200401,45.3,-0.4
200402,45.4,-4.2
200403,59.6,2.8
200404,62.3,-1.4
200405,72.6,0.9
200406,77.4,-1.1
200407,79.5,-1.5
200408,76.8,-3.7
200409,74.7,-0.8
200410,70.2,5.2
200411,58.8,4.4
200412,45.5,-2.8
200501,50.1,4.4
200502,51.6,2.0
200503,53.8,-3.0
200504,62.8,-0.9
200505,69.4,-2.3
200506,77.7,-0.8
200507,81.0,0.0
200508,82.0,1.5
200509,77.9,2.4
200510,64.1,-0.9
200511,56.7,2.3
200512,44.2,-4.1
200601,51.5,5.8
200602,46.0,-3.6
200603,57.1,0.3
200604,68.4,4.7
200605,71.6,-0.1
200606,78.6,0.1
200607,82.0,1.0
200608,83.0,2.5
200609,73.0,-2.5
200610,63.4,-1.6
200611,53.5,-0.9
200612,49.0,0.7
200701,46.2,0.5
200702,46.0,-3.6
200703,61.3,4.5
200704,61.0,-2.7
200705,72.2,0.5
200706,79.2,0.7
200707,79.1,-1.9
200708,84.2,3.7
200709,76.7,1.2
200710,66.5,1.5
200711,55.1,0.7
200712,51.9,3.6
200801,43.5,-2.2
200802,50.1,0.5
200803,56.3,-0.5
200804,63.0,-0.7
200805,71.1,-0.6
200806,79.2,0.7
200807,81.2,0.2
200808,78.5,-2.0
200809,74.1,-1.4
200810,62.6,-2.4
200811,52.0,-2.4
200812,48.3,0.0
200901,45.1,-0.6
200902,50.6,1.0
200903,57.6,0.8
200904,62.8,-0.9
200905,71.8,0.1
200906,80.2,1.7
200907,79.4,-1.6
200908,78.7,-1.8
200909,75.8,0.3
200910,62.6,-2.4
200911,54.7,0.3
200912,44.3,-4.0
201001,40.6,-5.1
201002,40.7,-8.9
201003,52.3,-4.5
201004,65.1,1.4
201005,74.4,2.7
201006,82.2,3.7
201007,82.7,1.7
201008,83.8,3.3
201009,77.0,1.5
201010,65.0,0.0
201011,55.7,1.3
201012,42.3,-6.0
201101,42.2,-3.5
201102,49.8,0.2
201103,57.8,1.0
201104,67.0,3.3
201105,70.6,-1.1
201106,82.2,3.7
201107,82.9,1.9
201108,83.0,2.5
201109,72.5,-3.0
201110,61.3,-3.7
201111,56.1,1.7
201112,48.0,-0.3
201201,50.8,5.1
201202,52.2,2.6
201203,65.4,8.6
201204,65.8,2.1
201205,74.3,2.6
201206,78.2,-0.3
201207,81.9,0.9
201208,79.5,-1.0
201209,74.4,-1.1
201210,62.1,-2.9
201211,52.0,-2.4
201212,51.6,3.3
201301,49.1,3.4
201302,49.0,-0.6
201303,50.4,-6.4
201304,62.1,-1.6
201305,68.9,-2.8
201306,78.9,0.4
201307,78.8,-2.2
201308,79.6,-0.9
201309,77.0,1.5
201310,65.4,0.4
201311,51.1,-3.3
201312,46.7,-1.6
201401,38.5,-7.2
201402,46.3,-3.3
201403,51.6,-5.2
201404,62.7,-1.0
201405,70.8,-0.9
201406,78.6,0.1
201407,77.5,-3.5
201408,79.8,-0.7
201409,76.5,1.0
201410,66.5,1.5
201411,48.8,-5.6
201412,50.2,1.9
201501,43.8,-1.9
201502,41.9,-7.7
201503,57.7,0.9
201504,67.0,3.3
201505,72.3,0.6
201506,79.2,0.7
201507,82.8,1.8
201508,80.1,-0.4
201509,76.3,0.8
201510,66.5,1.5
201511,59.2,4.8
201512,56.7,8.4
201601,43.7,-2.0
201602,50.9,1.3
201603,60.2,3.4
201604,65.2,1.5
201605,70.5,-1.2
201606,80.2,1.7
201607,82.4,1.4
201608,82.0,1.5
201609,79.0,3.5
201610,69.2,4.2
201611,58.2,3.8
201612,49.4,1.1
201701,52.9,7.2
201702,57.1,7.5
201703,60.1,3.3
201704,67.3,3.6
201705,70.1,-1.6
201706,76.7,-1.8
201707,81.2,0.2
201708,79.3,-1.2
201709,74.5,-1.0
201710,66.2,1.2
201711,56.8,2.4
201712,47.1,-1.2
201801,40.1,-5.6
201802,56.9,7.3
201803,57.1,0.3
201804,58.9,-4.8
201805,75.8,4.1
201806,80.6,2.1
201807,81.8,0.8
201808,80.3,-0.2
201809,78.9,3.4
201810,67.4,2.4
201811,50.5,-3.9
201812,49.0,0.7
201901,46.3,0.6
201902,55.0,5.4
201903,54.7,-2.1
201904,63.1,-0.6
201905,74.3,2.6
201906,78.3,-0.2
201907,80.8,-0.2
201908,81.4,0.9
201909,81.2,5.7
201910,66.6,1.6
201911,50.3,-4.1
201912,50.7,2.4
202001,50.1,4.4
202002,51.1,1.5
202003,64.1,7.3
202004,62.9,-0.8
202005,70.3,-1.4
202006,78.1,-0.4
202007,82.1,1.1
202008,80.2,-0.3
202009,75.3,-0.2
202010,65.8,0.8
202011,58.4,4.0
202012,47.0,-1.3
202101,46.8,1.1
202102,44.3,-5.3
202103,60.0,3.2
202104,62.1,-1.6
202105,70.0,-1.7
202106,78.2,-0.3
202107,80.6,-0.4
202108,80.9,0.4
202109,74.9,-0.6
202110,68.5,3.5
202111,53.0,-1.4
202112,58.8,10.5
202201,44.6,-1.1
