Michigan, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.04,0.01
199002,2.02,0.37
199003,1.95,0.00
199004,2.01,-1.02
199005,3.95,0.52
199006,4.28,0.77
199007,2.67,-0.69
199008,3.13,-0.19
199009,3.87,0.59
199010,4.51,0.95
199011,3.43,0.83
199012,2.33,0.15
199101,1.27,-0.76
199102,0.79,-0.86
199103,3.16,1.21
199104,3.91,0.88
199105,3.83,0.40
199106,2.07,-1.44
199107,4.34,0.98
199108,2.49,-0.83
199109,2.86,-0.42
199110,5.62,2.06
199111,3.26,0.66
199112,1.90,-0.28
199201,1.54,-0.49
199202,1.41,-0.24
199203,2.00,0.05
199204,3.07,0.04
199205,1.38,-2.05
199206,2.21,-1.30
199207,5.00,1.64
199208,2.99,-0.33
199209,4.54,1.26
199210,2.47,-1.09
199211,4.47,1.87
199212,2.28,0.10
199301,2.45,0.42
199302,0.79,-0.86
199303,1.06,-0.89
199304,3.84,0.81
199305,2.81,-0.62
199306,4.75,1.24
199307,2.80,-0.56
199308,3.91,0.59
199309,4.16,0.88
199310,2.82,-0.74
199311,1.99,-0.61
199312,1.06,-1.12
199401,2.05,0.02
199402,1.22,-0.43
199403,1.45,-0.50
199404,2.96,-0.07
199405,1.95,-1.48
199406,4.15,0.64
199407,4.70,1.34
199408,4.80,1.48
199409,2.57,-0.71
199410,2.15,-1.41
199411,3.43,0.83
199412,0.96,-1.22
199501,2.14,0.11
199502,0.93,-0.72
199503,1.62,-0.33
199504,3.14,0.11
199505,2.78,-0.65
199506,2.24,-1.27
199507,3.41,0.05
199508,4.07,0.75
199509,2.27,-1.01
199510,4.04,0.48
199511,3.48,0.88
199512,1.71,-0.47
199601,2.14,0.11
199602,1.56,-0.09
199603,1.36,-0.59
199604,3.45,0.42
199605,2.76,-0.67
199606,4.97,1.46
199607,3.52,0.16
199608,2.23,-1.09
199609,3.78,0.50
199610,3.28,-0.28
199611,1.95,-0.65
199612,3.00,0.82
199701,3.04,1.01
199702,2.67,1.02
199703,2.16,0.21
199704,1.14,-1.89
199705,3.69,0.26
199706,2.46,-1.05
199707,2.87,-0.49
199708,3.82,0.50
199709,3.29,0.01
199710,2.01,-1.55
199711,1.65,-0.95
199712,1.13,-1.05
199801,2.82,0.79
199802,1.32,-0.33
199803,3.80,1.85
199804,2.27,-0.76
199805,2.11,-1.32
199806,2.95,-0.56
199807,1.93,-1.43
199808,3.18,-0.14
199809,2.44,-0.84
199810,2.79,-0.77
199811,2.24,-0.36
199812,1.71,-0.47
199901,3.31,1.28
199902,1.45,-0.20
199903,0.82,-1.13
199904,3.29,0.26
199905,3.13,-0.30
199906,3.90,0.39
199907,4.92,1.56
199908,2.55,-0.77
199909,2.74,-0.54
199910,1.92,-1.64
199911,1.18,-1.42
199912,2.19,0.01
200001,1.68,-0.35
200002,1.42,-0.23
200003,1.62,-0.33
200004,2.41,-0.62
200005,4.64,1.21
200006,4.07,0.56
200007,3.45,0.09
200008,2.85,-0.47
200009,3.95,0.67
200010,1.63,-1.93
200011,2.77,0.17
200012,2.53,0.35
200101,1.23,-0.80
200102,2.63,0.98
200103,0.71,-1.24
200104,3.12,0.09
200105,4.71,1.28
200106,3.24,-0.27
200107,2.02,-1.34
200108,3.38,0.06
200109,4.25,0.97
200110,5.47,1.91
200111,2.44,-0.16
200112,1.97,-0.21
200201,1.12,-0.91
200202,2.13,0.48
200203,2.59,0.64
200204,3.57,0.54
200205,3.83,0.40
200206,3.01,-0.50
200207,3.22,-0.14
200208,3.51,0.19
200209,2.13,-1.15
200210,3.07,-0.49
200211,1.58,-1.02
200212,1.14,-1.04
200301,0.86,-1.17
200302,1.06,-0.59
200303,1.97,0.02
200304,2.79,-0.24
200305,3.99,0.56
200306,2.21,-1.30
200307,3.34,-0.02
200308,2.69,-0.63
200309,3.33,0.05
200310,2.31,-1.25
200311,4.60,2.00
200312,1.93,-0.25
200401,2.03,0.00
200402,1.20,-0.45
200403,3.17,1.22
200404,2.06,-0.97
200405,6.64,3.21
200406,3.27,-0.24
200407,3.30,-0.06
200408,3.17,-0.15
200409,1.07,-2.21
200410,3.73,0.17
200411,2.79,0.19
200412,2.92,0.74
200501,2.93,0.90
200502,1.78,0.13
200503,1.20,-0.75
200504,1.36,-1.67
200505,2.05,-1.38
200506,2.87,-0.64
200507,3.69,0.33
200508,2.59,-0.73
200509,3.58,0.30
200510,1.73,-1.83
200511,4.15,1.55
200512,1.96,-0.22
200601,3.00,0.97
200602,1.80,0.15
200603,2.21,0.26
200604,2.10,-0.93
200605,4.63,1.20
200606,2.42,-1.09
200607,3.82,0.46
200608,3.13,-0.19
200609,3.35,0.07
200610,4.20,0.64
200611,2.34,-0.26
200612,2.85,0.67
200701,2.19,0.16
200702,0.96,-0.69
200703,2.51,0.56
200704,3.00,-0.03
200705,2.31,-1.12
200706,2.67,-0.84
200707,2.04,-1.32
200708,4.11,0.79
200709,2.84,-0.44
200710,3.80,0.24
200711,1.61,-0.99
200712,2.62,0.44
200801,3.19,1.16
200802,2.56,0.91
200803,1.50,-0.45
200804,3.32,0.29
200805,2.38,-1.05
200806,4.69,1.18
200807,3.73,0.37
200808,1.67,-1.65
200809,5.22,1.94
200810,2.14,-1.42
200811,2.22,-0.38
200812,4.23,2.05
200901,1.32,-0.71
200902,2.40,0.75
200903,2.32,0.37
200904,3.94,0.91
200905,2.95,-0.48
200906,3.53,0.02
200907,2.30,-1.06
200908,4.62,1.30
200909,1.81,-1.47
200910,5.25,1.69
200911,1.09,-1.51
200912,2.34,0.16
201001,0.95,-1.08
201002,1.04,-0.61
201003,0.73,-1.22
201004,2.09,-0.94
201005,3.52,0.09
201006,5.89,2.38
201007,4.16,0.80
201008,2.37,-0.95
201009,4.88,1.60
201010,2.01,-1.55
201011,2.15,-0.45
201012,1.43,-0.75
201101,1.43,-0.60
201102,1.53,-0.12
201103,2.21,0.26
201104,5.44,2.41
201105,4.26,0.83
201106,3.65,0.14
201107,2.99,-0.37
201108,3.16,-0.16
201109,3.72,0.44
201110,3.37,-0.19
201111,3.19,0.59
201112,1.87,-0.31
201201,2.22,0.19
201202,1.31,-0.34
201203,2.59,0.64
201204,1.89,-1.14
201205,3.00,-0.43
201206,3.00,-0.51
201207,3.59,0.23
201208,2.73,-0.59
201209,2.57,-0.71
201210,4.66,1.10
201211,0.99,-1.61
201212,2.45,0.27
201301,3.30,1.27
201302,2.28,0.63
201303,1.36,-0.59
201304,5.72,2.69
201305,3.59,0.16
201306,3.68,0.17
201307,3.54,0.18
201308,3.00,-0.32
201309,1.92,-1.36
201310,3.82,0.26
201311,3.83,1.23
201312,2.19,0.01
201401,2.21,0.18
201402,1.58,-0.07
201403,1.39,-0.56
201404,3.82,0.79
201405,3.53,0.10
201406,3.82,0.31
201407,3.46,0.10
201408,3.56,0.24
201409,3.92,0.64
201410,4.09,0.53
201411,3.51,0.91
201412,1.77,-0.41
201501,1.28,-0.75
201502,0.97,-0.68
201503,0.87,-1.08
201504,2.46,-0.57
201505,4.14,0.71
201506,4.06,0.55
201507,2.49,-0.87
201508,3.31,-0.01
201509,2.91,-0.37
201510,2.46,-1.10
201511,3.06,0.46
201512,3.73,1.55
201601,1.73,-0.30
201602,1.87,0.22
201603,3.65,1.70
201604,2.80,-0.23
201605,2.63,-0.80
201606,2.46,-1.05
201607,3.92,0.56
201608,5.04,1.72
201609,3.96,0.68
201610,3.46,-0.10
201611,2.04,-0.56
201612,2.30,0.12
201701,2.78,0.75
201702,2.02,0.37
201703,2.94,0.99
201704,4.39,1.36
201705,3.36,-0.07
201706,4.72,1.21
201707,2.74,-0.62
201708,3.50,0.18
201709,1.57,-1.71
201710,6.63,3.07
201711,2.74,0.14
201712,1.88,-0.30
201801,1.74,-0.29
201802,2.96,1.31
201803,1.13,-0.82
201804,3.00,-0.03
201805,4.26,0.83
201806,2.95,-0.56
201807,2.62,-0.74
201808,4.47,1.15
201809,3.54,0.26
201810,5.14,1.58
201811,2.53,-0.07
201812,1.83,-0.35
201901,2.29,0.26
201902,2.93,1.28
201903,1.81,-0.14
201904,3.65,0.62
201905,4.73,1.30
201906,4.13,0.62
201907,2.99,-0.37
201908,2.46,-0.86
201909,5.19,1.91
201910,5.54,1.98
201911,2.69,0.09
201912,3.42,1.24
202001,2.84,0.81
202002,1.03,-0.62
202003,2.83,0.88
202004,3.01,-0.02
202005,4.06,0.63
202006,3.09,-0.42
202007,3.93,0.57
202008,3.83,0.51
202009,3.08,-0.20
202010,3.75,0.19
202011,2.17,-0.43
202012,1.69,-0.49
202101,1.05,-0.98
202102,1.28,-0.37
202103,1.60,-0.35
202104,2.08,-0.95
202105,2.03,-1.40
202106,4.94,1.43
202107,4.14,0.78
202108,3.96,0.64
202109,3.64,0.36
202110,3.89,0.33
202111,1.76,-0.84
202112,2.54,0.36
202201,0.95,-1.08
